Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
242,1,2.22246714796186,0,17.4817859288666,0,0,0,0,0,22.616270610087,0,0,108.239459218668,3.78306954695159e-05,0,0,0,0,43.5998722183232
243,1,2.21100561811934,0,17.4204950844526,0,0,0,0,0,22.5335928415757,0,0,107.902255042527,3.40476259225643e-05,0,0,0,0,43.4527608566221
244,1,2.19979774939595,0,17.3601091041846,0,0,0,0,0,22.4522982116307,0,0,107.569718827846,3.06428633303079e-05,0,0,0,0,43.3080842280534
245,1,2.1888362853718,0,17.3006139349993,0,0,0,0,0,22.3723563887905,0,0,107.241798524963,2.75785769972771e-05,0,0,0,0,43.1657996640362
246,1,2.17811420054503,0,17.2419956919669,0,0,0,0,0,22.2937380376641,0,0,106.918440387507,2.48207192975494e-05,0,0,0,0,43.0258644167124
247,1,2.16762469253622,0,17.1842406624451,0,0,0,0,0,22.2164147903662,0,0,106.599589205597,2.23386473677945e-05,0,0,0,0,42.8882357438485
248,1,2.15736117483758,0,17.1273353106361,0,0,0,0,0,22.1403592172358,0,0,106.285188540117,2.0104782631015e-05,0,0,0,0,42.7528709960818
249,1,2.14731726998386,0,17.0712662819353,0,0,0,0,0,22.0655447964202,0,0,105.975180952255,1.80943043679135e-05,0,0,0,0,42.6197277037487
250,1,2.13748680303218,0,17.0160204065009,0,0,0,0,0,21.9919458819295,0,0,105.669508222965,1.62848739311222e-05,0,0,0,0,42.4887636607382
251,1,2.12786379525927,0,16.961584701604,0,0,0,0,0,21.9195376699103,0,0,105.368111558,1.465638653801e-05,0,0,0,0,42.3599370032638
252,1,2.11844245801794,0,16.9079463725618,0,0,0,0,0,21.8482961631704,0,0,105.070931775906,1.3190747884209e-05,0,0,0,0,42.2332062821759
253,1,2.10921718672595,0,16.8550928122773,0,0,0,0,0,21.7781981342451,0,0,104.777909478,1.18716730957881e-05,0,0,0,0,42.1085305281286
