Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
310,1,1.30599448704454,0,11.4886519536369,0,0,0,0,0,15.5634763425722,0,0,83.1534739116915,2.92640861870346e-08,0,0,0,0,33.6650093974491
311,1,1.30315253307721,0,11.4664362105834,0,0,0,0,0,15.5334854383444,0,0,82.9996815470272,2.63376775683311e-08,0,0,0,0,33.6025421771127
312,1,1.30035243512802,0,11.4445066309585,0,0,0,0,0,15.5038913250407,0,0,82.8478500926852,2.3703909811498e-08,0,0,0,0,33.5408974033979
313,1,1.29759337989808,0,11.422858958753,0,0,0,0,0,15.4746876798987,0,0,82.6979515536451,2.13335188303482e-08,0,0,0,0,33.4800624455087
314,1,1.29487457407368,0,11.4014890099932,0,0,0,0,0,15.4458683105355,0,0,82.5499583051591,1.92001669473134e-08,0,0,0,0,33.4200248680884
315,1,1.29219524374178,0,11.3803926713863,0,0,0,0,0,15.4174271515225,0,0,82.4038430939861,1.72801502525821e-08,0,0,0,0,33.3607724305543
316,1,1.289554633833,0,11.3595658989989,0,0,0,0,0,15.3893582609987,0,0,82.2595790395518,1.55521352273239e-08,0,0,0,0,33.3022930864677
317,1,1.28695200758963,0,11.3390047169669,0,0,0,0,0,15.3616558173252,0,0,82.1171396349475,1.39969217045915e-08,0,0,0,0,33.2445749828875
318,1,1.28438664605628,0,11.3187052162332,0,0,0,0,0,15.3343141157894,0,0,81.9764987476875,1.25972295341323e-08,0,0,0,0,33.1876064596683
319,1,1.28185784759089,0,11.2986635533074,0,0,0,0,0,15.3073275653616,0,0,81.837630620165,1.13375065807191e-08,0,0,0,0,33.1313760486659
320,1,1.27936492739442,0,11.2788759490495,0,0,0,0,0,15.2806906855126,0,0,81.7005098697532,1.02037559226472e-08,0,0,0,0,33.0758724728232
321,1,1.27690721705723,0,11.2593386874729,0,0,0,0,0,15.2543981030949,0,0,81.5651114885195,9.18338033038246e-09,0,0,0,0,33.0210846451152
322,1,1.27448406412101,0,11.240048114567,0,0,0,0,0,15.2284445492968,0,0,81.4314108425278,8.26504229734422e-09,0,0,0,0,32.9670016673367
323,1,1.27209483165472,0,11.2210006371409,0,0,0,0,0,15.2028248566732,0,0,81.2993836707206,7.4385380676098e-09,0,0,0,0,32.9136128287269
324,1,1.26973889784363,0,11.2021927216863,0,0,0,0,0,15.1775339562597,0,0,81.1690060833791,6.69468426084882e-09,0,0,0,0,32.8609076044229
325,1,1.26741565559054,0,11.1836208932628,0,0,0,0,0,15.1525668747762,0,0,81.0402545601712,6.02521583476394e-09,0,0,0,0,32.808875653747
326,1,1.26512451212835,0,11.1652817344047,0,0,0,0,0,15.1279187319233,0,0,80.9131059478019,5.42269425128754e-09,0,0,0,0,32.7575068183287
327,1,1.26286488864341,0,11.1471718840525,0,0,0,0,0,15.103584737777,0,0,80.7875374572843,4.88042482615879e-09,0,0,0,0,32.7067911200685
328,1,1.26063621990893,0,11.1292880365075,0,0,0,0,0,15.0795601902835,0,0,80.663526660857,4.39238234354291e-09,0,0,0,0,32.6567187589542
329,1,1.25843795392809,0,11.1116269404131,0,0,0,0,0,15.055840472857,0,0,80.5410514885693,3.95314410918862e-09,0,0,0,0,32.6072801107364
330,1,1.25626955158636,0,11.0941853977595,0,0,0,0,0,15.0324210520807,0,0,80.420090224562,3.55782969826976e-09,0,0,0,0,32.5584657244768
331,1,1.25413048631247,0,11.0769602629158,0,0,0,0,0,15.0092974755106,0,0,80.3006215030676,3.20204672844278e-09,0,0,0,0,32.5102663199782
332,1,1.25202024374789,0,11.0599484416856,0,0,0,0,0,14.9864653695815,0,0,80.182624304155,2.8818420555985e-09,0,0,0,0,32.4626727851089
333,1,1.24993832142423,0,11.0431468903878,0,0,0,0,0,14.9639204376118,0,0,80.0660779492434,2.59365785003865e-09,0,0,0,0,32.4156761730323
334,1,1.24788422844836,0,11.0265526149596,0,0,0,0,0,14.9416584579049,0,0,79.9509620964069,2.33429206503479e-09,0,0,0,0,32.3692676993529
335,1,1.2458574851949,0,11.0101626700824,0,0,0,0,0,14.9196752819423,0,0,79.837256735493,2.10086285853131e-09,0,0,0,0,32.3234387391886
336,1,1.24385762300584,0,10.9939741583272,0,0,0,0,0,14.8979668326648,0,0,79.724942183075,1.89077657267818e-09,0,0,0,0,32.2781808241814
337,1,1.24188418389695,0,10.9779842293201,0,0,0,0,0,14.8765291028359,0,0,79.6139990772596,1.70169891541036e-09,0,0,0,0,32.2334856394564
338,1,1.23993672027084,0,10.962190078924,0,0,0,0,0,14.8553581534838,0,0,79.5044083723681,1.53152902386932e-09,0,0,0,0,32.1893450205385
339,1,1.23801479463642,0,10.9465889484369,0,0,0,0,0,14.8344501124149,0,0,79.3961513335134,1.37837612148239e-09,0,0,0,0,32.1457509502382
340,1,1.23611797933469,0,10.9311781238044,0,0,0,0,0,14.8138011727949,0,0,79.2892095310895,1.24053850933415e-09,0,0,0,0,32.1026955555163
341,1,1.2342458562706,0,10.9159549348462,0,0,0,0,0,14.7934075917918,0,0,79.1835648351958,1.11648465840074e-09,0,0,0,0,32.0601711043372
342,1,1.23239801665106,0,10.900916754494,0,0,0,0,0,14.7732656892765,0,0,79.0791994100149,1.00483619256066e-09,0,0,0,0,32.0181700025212
343,1,1.2305740607289,0,10.886060998042,0,0,0,0,0,14.7533718465758,0,0,78.9760957081641,9.04352573304597e-10,0,0,0,0,31.9766847906062
344,1,1.22877359755289,0,10.8713851224081,0,0,0,0,0,14.7337225052745,0,0,78.8742364650414,8.13917315974138e-10,0,0,0,0,31.9357081407278
